Ntc	Nli	Nbr	Nla	Nmu	NA1	NA2	NA3	NA4	t1	t2	t3	t4	Mmu2la	Mla2mu	Mli2la	Mla2li	Mli2tc	Mtc2li	Mmu2li	Mli2mu	Mla2tc	Mtc2la	Mli2br	Mbr2li	MaxEstLhood	MaxObsLhood
2474	1374	13969	38849	28338	1929	20590	332240	799110	635	7694	10137	11790	9.80E-05	3.18E-06	1.12E-04	5.58E-05	3.72E-05	1.31E-05	5.72E-05	9.27E-05	2.94E-06	2.19E-06	2.22E-04	1.79E-05	-4619605.848	-4571876.397
1175	3625	8606	34415	23680	2197	81103	408196	850292	2062	6497	8806	11816	5.41E-05	9.59E-06	5.66E-05	7.02E-06	4.65E-04	1.75E-05	2.39E-05	2.45E-05	1.20E-05	3.27E-06	9.49E-05	3.53E-05	-4614553.962	-4569820.035
1238	6315	10052	31606	26512	2343	27345	257209	750717	2238	6694	8588	11818	4.21E-05	1.26E-05	2.69E-05	7.38E-06	2.38E-04	8.04E-06	2.14E-05	1.74E-05	1.26E-05	2.54E-06	7.29E-05	2.00E-05	-4624595.14	-4579158.444
1080	5650	9437	33661	25247	158431	40936	349362	792752	4086	5802	10486	12080	1.74E-05	9.83E-06	1.92E-05	8.18E-06	5.67E-04	7.34E-06	2.28E-05	9.77E-06	1.16E-05	2.86E-06	5.55E-05	1.67E-05	-4601974.78	-4560217.331
1196	14156	12853	39526	28171	4780	30179	109338	768495	3647	7916	10505	12102	2.39E-05	9.86E-06	1.09E-05	1.31E-05	3.18E-04	7.46E-06	1.72E-05	6.70E-06	3.78E-06	2.65E-06	3.73E-05	1.28E-05	-4612569.014	-4569569.131
5385	2041	8585	24878	29436	1144	11002	422211	750910	1011	5015	6094	12160	8.46E-05	4.13E-06	9.94E-05	2.65E-05	2.53E-04	1.27E-05	2.22E-05	5.61E-05	1.27E-05	1.62E-06	1.62E-04	1.90E-05	-4616227	-4568657.953
1169	1596	8817	27515	26145	1654	15502	602860	807943	2310	4990	6837	12196	4.91E-05	5.74E-06	1.12E-04	9.00E-06	0.0011634	5.00E-06	1.99E-05	6.74E-05	1.18E-05	2.47E-06	2.00E-04	9.00E-06	-4619692.787	-4574043.187
1090	5856	10760	37599	18347	10894	31457	65398	846277	4904	6903	10071	12429	5.00E-05	4.34E-06	1.70E-05	1.92E-06	4.68E-04	2.24E-05	2.11E-05	1.21E-05	8.08E-06	3.61E-06	4.96E-05	1.03E-05	-4617433.827	-4574509.97
1210	2198	6776	16509	21985	1293	6618	283083	830363	3502	3962	4782	12574	4.73E-05	1.17E-05	7.84E-05	1.32E-05	9.33E-04	2.66E-06	2.59E-05	3.32E-05	7.54E-06	1.96E-06	1.49E-04	1.05E-05	-4609914.92	-4565141.104
1107	7137	11102	33823	21700	31013	23509	422111	811753	4130	6889	9988	12584	3.85E-05	3.68E-06	2.75E-06	1.74E-05	4.75E-04	5.44E-06	2.37E-05	6.84E-06	6.54E-06	3.38E-06	2.89E-05	1.31E-05	-4610624.932	-4569420.441
1098	4477	6389	40847	27887	8466	82904	196478	805652	3750	4195	11323	12644	2.58E-05	1.01E-05	3.33E-05	9.61E-06	6.29E-04	3.41E-06	2.20E-05	1.10E-05	7.46E-06	1.16E-06	5.55E-05	2.85E-05	-4615888.676	-4573183.427
1274	1376	8456	39752	26638	1385	48037	191711	800534	1076	4757	10583	12684	7.47E-05	1.85E-05	1.31E-04	2.53E-05	7.97E-04	9.59E-06	5.56E-05	7.29E-05	2.20E-05	5.47E-06	2.05E-04	1.38E-05	-4621981.503	-4575134.788
1104	5897	14084	36101	25647	415412	20453	277254	793878	4051	8933	11348	12756	3.21E-05	1.11E-05	1.16E-05	1.00E-05	5.58E-04	2.75E-06	2.27E-05	3.01E-06	1.03E-05	2.04E-06	4.59E-05	1.32E-05	-4618236.434	-4576542.099
1739	1987	9060	41001	28357	1653	76536	520977	835155	1316	6399	10678	12842	6.74E-05	1.05E-05	7.98E-05	7.41E-06	4.64E-04	1.28E-05	3.11E-05	5.55E-05	1.56E-05	2.89E-06	1.45E-04	3.21E-05	-4626537.472	-4579432.111
2398	1329	10459	39871	30611	1769	33141	378558	793386	631	6551	9804	12881	9.51E-05	8.94E-06	1.24E-04	1.17E-05	1.52E-04	1.58E-05	6.10E-05	1.06E-04	2.95E-05	2.01E-06	2.34E-04	2.54E-05	-4617975.796	-4569893.211
1323	2233	11555	40752	27188	1978	40751	124251	820254	1517	6731	10829	12899	7.24E-05	1.15E-05	8.79E-05	1.14E-05	6.72E-04	5.90E-06	2.92E-05	6.83E-05	1.06E-05	2.83E-06	1.40E-04	1.55E-05	-4615972.938	-4569854.147
1132	1915	7531	45173	27723	1552	75849	549297	793013	1401	4868	10850	12937	5.54E-05	7.99E-06	9.80E-05	1.98E-05	7.74E-04	3.13E-06	3.61E-05	5.27E-05	3.48E-06	5.12E-06	1.92E-04	2.79E-05	-4616978.278	-4571110.705
1756	1839	8504	43144	27072	1624	151322	244748	818663	2181	6047	11882	13130	4.60E-05	1.67E-05	8.60E-05	2.97E-06	9.29E-04	2.91E-06	2.08E-05	4.62E-05	1.09E-05	2.26E-06	1.78E-04	3.74E-05	-4607744.817	-4561501.766
1371	3167	15836	41159	29831	3501	6829	187679	767765	2003	9986	10593	13250	4.79E-05	8.61E-06	5.49E-05	5.64E-06	4.06E-04	1.18E-05	2.39E-05	3.55E-05	1.38E-05	2.70E-06	1.02E-04	1.87E-05	-4612710.95	-4567459.297
3556	1421	10131	42789	31108	1597	82004	611239	757694	836	6508	11854	13274	8.68E-05	2.82E-05	1.27E-04	5.13E-05	5.57E-04	5.75E-06	4.79E-05	9.34E-05	1.07E-05	1.47E-06	2.18E-04	2.64E-05	-4619944.546	-4572295.426
1798	1664	13814	44166	31572	2384	30291	420907	780490	934	8378	11468	13381	6.41E-05	2.38E-05	1.01E-04	2.64E-05	2.89E-04	6.32E-06	4.51E-05	6.49E-05	1.40E-05	1.25E-06	1.85E-04	1.69E-05	-4616426.265	-4569539.551
1121	1788	18707	47171	23336	3713	8971	75340	848640	834	10609	11705	13423	1.68E-04	2.45E-06	9.96E-05	3.49E-05	3.87E-04	9.64E-06	6.45E-05	5.87E-05	1.84E-05	1.61E-06	2.00E-04	2.32E-05	-4623359.715	-4573244.803
1683	2281	9798	53384	31524	1655	73265	196043	737964	1900	6121	12861	13507	4.13E-05	5.85E-06	6.89E-05	6.08E-06	5.54E-04	1.14E-05	2.01E-05	5.49E-05	9.37E-06	2.42E-06	1.27E-04	2.10E-05	-4630934.38	-4584280.915
1115	7434	12844	32637	20916	248269	26278	124627	855068	4763	8628	11611	13544	3.39E-05	1.44E-05	1.11E-05	1.41E-05	4.60E-04	1.39E-05	3.10E-05	7.32E-06	5.00E-06	3.91E-06	3.72E-05	1.85E-05	-4617526.511	-4575288.61
1150	5329	9223	34243	25273	11603	41159	335911	799669	4185	5948	9602	13583	2.91E-05	7.59E-06	1.29E-05	1.07E-05	5.55E-04	4.72E-06	2.33E-05	1.16E-05	7.73E-06	2.16E-06	7.33E-05	2.35E-05	-4622842.211	-4580614.757
1233	5602	6870	23302	23570	27215	36147	329179	850302	4395	4974	7263	13648	3.47E-05	1.68E-05	9.88E-06	7.63E-06	5.57E-04	4.57E-06	2.55E-05	3.95E-06	1.04E-05	2.24E-06	5.38E-05	2.85E-05	-4607862.681	-4565581.074
1133	7730	6289	37040	27223	1499	97872	151509	831404	3221	4419	11479	13710	3.55E-05	1.16E-05	1.82E-05	2.03E-05	4.22E-04	4.98E-06	2.25E-05	9.01E-06	5.38E-06	2.29E-06	5.07E-05	2.76E-05	-4607234.891	-4565259.998
1076	2668	8567	43650	25303	2233	103230	231578	802361	1519	6168	12312	13720	9.18E-05	1.15E-05	9.24E-05	2.10E-05	6.08E-04	2.41E-06	3.93E-05	3.04E-05	1.53E-05	1.45E-06	1.27E-04	4.14E-05	-4623741.223	-4577849.295
1148	6723	6152	46209	23625	6385	109063	76050	808744	4127	4301	12850	13721	3.54E-05	6.13E-06	5.02E-06	4.73E-06	5.59E-04	5.26E-06	2.54E-05	8.07E-06	1.13E-05	2.62E-06	4.34E-05	2.63E-05	-4607967.061	-4565795.914
1755	1316	15602	53121	1198	2652	13316	39517	941387	686	9413	10709	13783	0.0011117	1.84E-06	1.92E-04	1.91E-05	3.17E-04	9.31E-06	2.15E-04	6.32E-05	1.97E-05	3.19E-06	2.28E-04	2.42E-05	-4639265.635	-4570370.848
1139	1467	10874	48095	31734	2607	90752	98405	802191	1752	7576	12250	13824	5.36E-05	8.04E-06	1.24E-04	1.34E-05	0.0011683	5.58E-06	2.37E-05	7.75E-05	4.54E-06	3.50E-06	1.92E-04	2.21E-05	-4618876.021	-4573040.933
